data,produto,preco_venda,custo,margem,canal,cidade,quantidade
2024-01-04,Rede Viagem,107,63.39,43.61,Marketplace,Jardim de Piranhas-RN,2
2024-01-04,Rede Tradicional,107,52.54,54.46,Loja Física,Jardim de Piranhas-RN,4
2024-01-04,Rede Viagem,118,62.08,55.92,Loja Física,São Bento-PB,4
2024-01-04,Rede Infantil,89,44.86,44.14,Site,João Pessoa-PB,4
2024-01-04,Rede Tradicional,103,46.45,56.55,Site,João Pessoa-PB,4
2024-01-04,Rede Tradicional,100,43.94,56.06,Loja Física,João Pessoa-PB,4
2024-01-05,Rede Tradicional,110,55.7,54.3,Instagram,Fortaleza-CE,4
2024-01-05,Rede Casal,156,71.27,84.73,Marketplace,São Bento-PB,4
2024-01-05,Rede Tradicional,88,53.14,34.86,Site,Fortaleza-CE,3
2024-01-05,Rede Casal,164,70.17,93.83,Site,Brejo do Cruz-PB,2
2024-01-05,Rede Tradicional,99,52.2,46.8,WhatsApp,João Pessoa-PB,3
2024-01-05,Rede Infantil,93,32.82,60.18,Instagram,São Bento-PB,2
2024-01-05,Rede Viagem,121,62.5,58.5,Loja Física,Brejo do Cruz-PB,2
2024-01-05,Rede Luxo,242,135.43,106.57,WhatsApp,Brejo do Cruz-PB,4
2024-01-05,Rede Viagem,103,68.02,34.98,WhatsApp,João Pessoa-PB,3
2024-01-06,Rede Infantil,75,45.16,29.84,WhatsApp,Fortaleza-CE,2
2024-01-06,Rede Luxo,226,116.55,109.45,Instagram,Brejo do Cruz-PB,2
2024-01-06,Rede Casal,155,89.95,65.05,Loja Física,Brejo do Cruz-PB,1
2024-01-06,Rede Tradicional,80,48.46,31.54,Loja Física,Jardim de Piranhas-RN,1
2024-01-06,Rede Tradicional,95,49.8,45.2,Site,Jardim de Piranhas-RN,3
2024-01-06,Rede Luxo,221,123.91,97.09,Instagram,Jardim de Piranhas-RN,2
2024-01-06,Rede Tradicional,108,42.59,65.41,Site,São Bento-PB,2
2024-01-06,Rede Infantil,64,38.14,25.86,Marketplace,Fortaleza-CE,4
2024-01-06,Rede Viagem,132,59.72,72.28,Site,Fortaleza-CE,2
2024-01-06,Rede Viagem,133,55.24,77.76,Marketplace,Fortaleza-CE,3
2024-01-06,Rede Casal,161,86.98,74.02,Site,Jardim de Piranhas-RN,4
2024-01-06,Rede Casal,157,79.4,77.6,Instagram,Brejo do Cruz-PB,4
2024-01-06,Rede Infantil,94,40.51,53.49,Loja Física,Jardim de Piranhas-RN,3
2024-01-06,Rede Luxo,221,115.99,105.01,Loja Física,Fortaleza-CE,3
2024-01-06,Rede Infantil,88,32.47,55.53,Marketplace,Jardim de Piranhas-RN,3
2024-01-07,Rede Luxo,232,102.13,129.87,Site,Fortaleza-CE,2
2024-01-07,Rede Casal,163,70.3,92.7,WhatsApp,Fortaleza-CE,1
2024-01-07,Rede Casal,140,87.57,52.43,WhatsApp,São Bento-PB,1
2024-01-07,Rede Viagem,109,58.82,50.18,Instagram,São Bento-PB,3
2024-01-07,Rede Infantil,77,35.0,42.0,Site,Brejo do Cruz-PB,1
2024-01-07,Rede Viagem,122,66.1,55.9,Loja Física,São Bento-PB,1
2024-01-07,Rede Infantil,84,35.98,48.02,Instagram,João Pessoa-PB,1
2024-01-07,Rede Infantil,71,44.92,26.08,Instagram,Brejo do Cruz-PB,1
2024-01-07,Rede Infantil,73,40.97,32.03,WhatsApp,João Pessoa-PB,2
2024-01-08,Rede Viagem,134,62.75,71.25,WhatsApp,João Pessoa-PB,1
2024-01-08,Rede Infantil,82,42.44,39.56,Site,Jardim de Piranhas-RN,2
2024-01-08,Rede Casal,143,78.39,64.61,Site,João Pessoa-PB,3
2024-01-08,Rede Viagem,110,52.08,57.92,WhatsApp,São Bento-PB,2
2024-01-08,Rede Casal,146,65.83,80.17,Site,Fortaleza-CE,1
2024-01-08,Rede Casal,156,82.77,73.23,Site,Jardim de Piranhas-RN,1
2024-01-08,Rede Luxo,217,115.47,101.53,Loja Física,Brejo do Cruz-PB,1
2024-01-08,Rede Tradicional,83,46.8,36.2,WhatsApp,João Pessoa-PB,1
2024-01-08,Rede Infantil,86,34.98,51.02,Instagram,João Pessoa-PB,1
2024-01-08,Rede Viagem,127,62.07,64.93,WhatsApp,Brejo do Cruz-PB,4
2024-01-08,Rede Viagem,100,64.48,35.52,WhatsApp,São Bento-PB,3
2024-01-08,Rede Infantil,84,43.66,40.34,Site,Fortaleza-CE,4
2024-01-09,Rede Viagem,110,69.72,40.28,WhatsApp,João Pessoa-PB,3
2024-01-09,Rede Infantil,77,33.83,43.17,Loja Física,São Bento-PB,1
2024-01-09,Rede Luxo,225,131.43,93.57,Instagram,Brejo do Cruz-PB,2
2024-01-09,Rede Infantil,83,40.18,42.82,Marketplace,Brejo do Cruz-PB,4
2024-01-09,Rede Casal,137,72.89,64.11,Marketplace,Brejo do Cruz-PB,4
2024-01-09,Rede Viagem,126,64.86,61.14,Loja Física,São Bento-PB,1
2024-01-09,Rede Viagem,119,62.76,56.24,Site,Jardim de Piranhas-RN,2
2024-01-09,Rede Luxo,215,140.79,74.21,Site,São Bento-PB,2
2024-01-09,Rede Casal,159,87.25,71.75,Site,Jardim de Piranhas-RN,3
2024-01-09,Rede Tradicional,80,49.15,30.85,Loja Física,João Pessoa-PB,1
2024-01-09,Rede Casal,154,90.16,63.84,Instagram,São Bento-PB,1
2024-01-09,Rede Tradicional,113,41.16,71.84,Loja Física,Jardim de Piranhas-RN,4
2024-01-10,Rede Infantil,76,38.98,37.02,Site,João Pessoa-PB,1
2024-01-10,Rede Viagem,109,68.19,40.81,Loja Física,Jardim de Piranhas-RN,2
2024-01-10,Rede Tradicional,80,57.67,22.33,Site,Brejo do Cruz-PB,2
2024-01-10,Rede Tradicional,111,41.34,69.66,Marketplace,Fortaleza-CE,2
2024-01-10,Rede Luxo,221,134.92,86.08,WhatsApp,Jardim de Piranhas-RN,2
2024-01-10,Rede Luxo,226,104.9,121.1,Site,Jardim de Piranhas-RN,2
2024-01-10,Rede Casal,140,68.96,71.04,WhatsApp,Fortaleza-CE,2
2024-01-10,Rede Casal,163,80.83,82.17,Instagram,João Pessoa-PB,3
2024-01-10,Rede Casal,162,84.94,77.06,WhatsApp,Fortaleza-CE,3
2024-01-10,Rede Tradicional,84,54.84,29.16,Marketplace,São Bento-PB,2
2024-01-10,Rede Tradicional,99,48.76,50.24,Marketplace,Jardim de Piranhas-RN,2
2024-01-10,Rede Viagem,110,51.17,58.83,Loja Física,João Pessoa-PB,2
2024-01-10,Rede Infantil,63,36.34,26.66,Instagram,João Pessoa-PB,3
2024-01-10,Rede Viagem,131,53.29,77.71,Marketplace,João Pessoa-PB,3
2024-01-11,Rede Viagem,117,55.63,61.37,Site,Jardim de Piranhas-RN,2
2024-01-11,Rede Tradicional,84,48.79,35.21,Marketplace,Fortaleza-CE,1
2024-01-11,Rede Casal,156,64.1,91.9,Loja Física,São Bento-PB,2
2024-01-11,Rede Luxo,226,111.18,114.82,Loja Física,São Bento-PB,3
2024-01-11,Rede Viagem,114,61.3,52.7,Marketplace,Brejo do Cruz-PB,3
2024-01-11,Rede Casal,155,64.03,90.97,Instagram,João Pessoa-PB,3
2024-01-11,Rede Luxo,227,118.69,108.31,Instagram,João Pessoa-PB,3
2024-01-11,Rede Tradicional,107,40.86,66.14,Loja Física,São Bento-PB,3
2024-01-11,Rede Casal,154,87.93,66.07,WhatsApp,São Bento-PB,4
2024-01-11,Rede Casal,132,81.17,50.83,Marketplace,Brejo do Cruz-PB,3
2024-01-11,Rede Casal,137,79.42,57.58,WhatsApp,João Pessoa-PB,2
2024-01-11,Rede Tradicional,85,56.69,28.31,Marketplace,João Pessoa-PB,4
2024-01-12,Rede Viagem,105,62.83,42.17,Loja Física,Jardim de Piranhas-RN,2
2024-01-12,Rede Viagem,105,57.54,47.46,WhatsApp,João Pessoa-PB,2
2024-01-12,Rede Tradicional,82,49.94,32.06,Site,Brejo do Cruz-PB,4
2024-01-12,Rede Casal,149,90.15,58.85,WhatsApp,São Bento-PB,2
2024-01-12,Rede Luxo,211,123.5,87.5,Marketplace,João Pessoa-PB,1
2024-01-12,Rede Infantil,64,34.12,29.88,WhatsApp,João Pessoa-PB,4
2024-01-12,Rede Tradicional,99,44.86,54.14,Loja Física,Fortaleza-CE,2
2024-01-12,Rede Viagem,110,70.0,40.0,Site,João Pessoa-PB,3
2024-01-12,Rede Tradicional,85,46.56,38.44,Marketplace,Jardim de Piranhas-RN,3
2024-01-12,Rede Casal,131,72.03,58.97,Marketplace,Brejo do Cruz-PB,1
2024-01-12,Rede Viagem,108,66.23,41.77,Instagram,João Pessoa-PB,2
2024-01-12,Rede Tradicional,84,55.45,28.55,WhatsApp,Fortaleza-CE,2
2024-01-12,Rede Viagem,110,70.14,39.86,WhatsApp,João Pessoa-PB,3
2024-01-12,Rede Tradicional,101,41.37,59.63,Site,João Pessoa-PB,1
2024-01-12,Rede Viagem,113,67.09,45.91,Instagram,Jardim de Piranhas-RN,1
2024-01-12,Rede Viagem,118,64.13,53.87,Marketplace,Brejo do Cruz-PB,1
2024-01-12,Rede Viagem,124,64.53,59.47,Instagram,Jardim de Piranhas-RN,2
2024-01-12,Rede Tradicional,102,48.4,53.6,Loja Física,São Bento-PB,1
2024-01-13,Rede Casal,143,64.87,78.13,Instagram,João Pessoa-PB,2
2024-01-13,Rede Luxo,216,131.14,84.86,Marketplace,Brejo do Cruz-PB,3
2024-01-13,Rede Viagem,132,61.24,70.76,Instagram,Brejo do Cruz-PB,1
2024-01-13,Rede Tradicional,112,53.23,58.77,Instagram,São Bento-PB,2
2024-01-13,Rede Infantil,81,41.5,39.5,Site,João Pessoa-PB,2
2024-01-13,Rede Tradicional,92,42.49,49.51,WhatsApp,Jardim de Piranhas-RN,4
2024-01-13,Rede Infantil,74,42.66,31.34,Site,Jardim de Piranhas-RN,3
2024-01-13,Rede Infantil,71,42.31,28.69,Instagram,João Pessoa-PB,3
2024-01-14,Rede Infantil,85,35.03,49.97,Site,Brejo do Cruz-PB,3
2024-01-14,Rede Casal,135,74.22,60.78,Marketplace,João Pessoa-PB,4
2024-01-14,Rede Casal,142,66.9,75.1,Marketplace,São Bento-PB,1
2024-01-14,Rede Infantil,71,32.93,38.07,WhatsApp,Jardim de Piranhas-RN,4
2024-01-14,Rede Viagem,107,63.83,43.17,Loja Física,Brejo do Cruz-PB,3
2024-01-14,Rede Casal,138,74.88,63.12,Site,São Bento-PB,2
2024-01-14,Rede Luxo,232,104.4,127.6,Site,Jardim de Piranhas-RN,2
2024-01-14,Rede Infantil,82,44.39,37.61,Instagram,Jardim de Piranhas-RN,3
2024-01-14,Rede Tradicional,88,44.2,43.8,Loja Física,Jardim de Piranhas-RN,2
2024-01-14,Rede Tradicional,114,47.67,66.33,Loja Física,Fortaleza-CE,3
2024-01-14,Rede Casal,136,72.71,63.29,Marketplace,João Pessoa-PB,1
2024-01-15,Rede Luxo,233,124.42,108.58,WhatsApp,Jardim de Piranhas-RN,4
2024-01-15,Rede Tradicional,108,50.95,57.05,Marketplace,Brejo do Cruz-PB,2
2024-01-15,Rede Viagem,106,70.96,35.04,Loja Física,São Bento-PB,4
2024-01-15,Rede Infantil,66,39.84,26.16,Site,João Pessoa-PB,3
2024-01-15,Rede Luxo,241,119.6,121.4,Loja Física,Jardim de Piranhas-RN,1
2024-01-15,Rede Luxo,227,111.94,115.06,Instagram,Fortaleza-CE,2
2024-01-15,Rede Infantil,89,39.33,49.67,WhatsApp,São Bento-PB,4
2024-01-15,Rede Viagem,102,57.71,44.29,Marketplace,João Pessoa-PB,2
2024-01-15,Rede Casal,162,63.71,98.29,WhatsApp,Fortaleza-CE,3
2024-01-15,Rede Viagem,107,50.1,56.9,Instagram,João Pessoa-PB,3
2024-01-15,Rede Viagem,107,51.79,55.21,Site,João Pessoa-PB,3
2024-01-15,Rede Tradicional,107,44.79,62.21,Marketplace,João Pessoa-PB,4
2024-01-15,Rede Luxo,225,116.48,108.52,Site,Jardim de Piranhas-RN,2
2024-01-15,Rede Casal,136,80.73,55.27,Loja Física,Jardim de Piranhas-RN,3
2024-01-15,Rede Viagem,118,62.33,55.67,WhatsApp,Fortaleza-CE,2
2024-01-15,Rede Tradicional,84,46.65,37.35,Marketplace,Fortaleza-CE,3
2024-01-15,Rede Infantil,79,40.24,38.76,Loja Física,Fortaleza-CE,1
2024-01-15,Rede Infantil,94,44.78,49.22,WhatsApp,São Bento-PB,2
2024-01-16,Rede Luxo,232,134.19,97.81,Loja Física,Fortaleza-CE,3
2024-01-16,Rede Tradicional,93,53.85,39.15,Marketplace,Jardim de Piranhas-RN,1
2024-01-16,Rede Tradicional,101,55.53,45.47,WhatsApp,Fortaleza-CE,2
2024-01-16,Rede Viagem,133,55.49,77.51,Instagram,Fortaleza-CE,4
2024-01-16,Rede Viagem,133,61.69,71.31,Loja Física,Fortaleza-CE,4
2024-01-16,Rede Viagem,121,52.51,68.49,Loja Física,João Pessoa-PB,4
2024-01-16,Rede Casal,141,80.73,60.27,Site,Fortaleza-CE,1
2024-01-16,Rede Tradicional,105,47.78,57.22,Marketplace,Fortaleza-CE,4
2024-01-16,Rede Luxo,210,102.64,107.36,WhatsApp,João Pessoa-PB,2
2024-01-16,Rede Viagem,120,67.92,52.08,Instagram,Brejo do Cruz-PB,1
2024-01-16,Rede Luxo,244,140.77,103.23,Site,São Bento-PB,2
2024-01-16,Rede Infantil,79,33.77,45.23,WhatsApp,João Pessoa-PB,1
2024-01-16,Rede Luxo,243,126.43,116.57,Marketplace,Jardim de Piranhas-RN,1
2024-01-16,Rede Tradicional,96,47.93,48.07,Site,João Pessoa-PB,4
2024-01-16,Rede Casal,154,69.9,84.1,Instagram,Fortaleza-CE,1
2024-01-17,Rede Infantil,89,31.57,57.43,WhatsApp,João Pessoa-PB,1
2024-01-17,Rede Infantil,76,44.8,31.2,Loja Física,Brejo do Cruz-PB,2
2024-01-17,Rede Luxo,217,127.11,89.89,Loja Física,Jardim de Piranhas-RN,2
2024-01-17,Rede Tradicional,97,49.31,47.69,Instagram,Fortaleza-CE,1
2024-01-17,Rede Viagem,125,50.37,74.63,Marketplace,São Bento-PB,3
2024-01-17,Rede Casal,150,76.25,73.75,Site,São Bento-PB,3
2024-01-17,Rede Casal,152,85.27,66.73,WhatsApp,João Pessoa-PB,2
2024-01-17,Rede Luxo,226,127.61,98.39,Instagram,Brejo do Cruz-PB,4
2024-01-17,Rede Viagem,133,68.97,64.03,Instagram,Fortaleza-CE,3
2024-01-17,Rede Infantil,74,42.76,31.24,WhatsApp,Jardim de Piranhas-RN,2
2024-01-17,Rede Tradicional,92,51.77,40.23,Site,Fortaleza-CE,4
2024-01-17,Rede Casal,164,87.36,76.64,Instagram,Jardim de Piranhas-RN,1
2024-01-17,Rede Casal,161,89.11,71.89,Instagram,Brejo do Cruz-PB,1
2024-01-17,Rede Tradicional,108,41.18,66.82,WhatsApp,São Bento-PB,4
2024-01-17,Rede Infantil,69,32.78,36.22,WhatsApp,Jardim de Piranhas-RN,1
2024-01-17,Rede Tradicional,82,48.91,33.09,Marketplace,Brejo do Cruz-PB,2
2024-01-17,Rede Viagem,124,55.6,68.4,Site,São Bento-PB,3
2024-01-17,Rede Tradicional,103,42.74,60.26,Instagram,Fortaleza-CE,1
2024-01-17,Rede Viagem,105,71.11,33.89,Instagram,Jardim de Piranhas-RN,2
2024-01-18,Rede Infantil,63,34.74,28.26,WhatsApp,Jardim de Piranhas-RN,3
2024-01-18,Rede Viagem,109,50.53,58.47,Loja Física,Fortaleza-CE,1
2024-01-18,Rede Tradicional,82,55.37,26.63,Site,Jardim de Piranhas-RN,2
2024-01-18,Rede Tradicional,88,57.2,30.8,Marketplace,São Bento-PB,1
2024-01-18,Rede Luxo,244,132.36,111.64,Loja Física,João Pessoa-PB,4
2024-01-18,Rede Luxo,222,108.85,113.15,Loja Física,São Bento-PB,4
2024-01-18,Rede Viagem,133,59.56,73.44,Instagram,João Pessoa-PB,4
2024-01-18,Rede Viagem,108,50.48,57.52,Marketplace,Brejo do Cruz-PB,2
2024-01-18,Rede Tradicional,94,52.29,41.71,Site,João Pessoa-PB,3
2024-01-18,Rede Casal,153,70.07,82.93,Instagram,Jardim de Piranhas-RN,4
2024-01-18,Rede Casal,147,65.27,81.73,WhatsApp,Jardim de Piranhas-RN,4
2024-01-18,Rede Viagem,112,68.23,43.77,Site,Jardim de Piranhas-RN,3
2024-01-18,Rede Casal,132,72.74,59.26,Marketplace,João Pessoa-PB,1
2024-01-18,Rede Viagem,132,68.83,63.17,Instagram,Brejo do Cruz-PB,1
2024-01-18,Rede Luxo,222,135.83,86.17,Loja Física,Jardim de Piranhas-RN,2
2024-01-18,Rede Infantil,86,42.04,43.96,Site,João Pessoa-PB,1
2024-01-19,Rede Tradicional,110,55.36,54.64,Marketplace,João Pessoa-PB,1
2024-01-19,Rede Casal,131,86.3,44.7,Site,Brejo do Cruz-PB,3
2024-01-19,Rede Casal,161,65.35,95.65,Instagram,São Bento-PB,1
2024-01-19,Rede Tradicional,110,47.28,62.72,Site,João Pessoa-PB,4
2024-01-19,Rede Luxo,239,99.81,139.19,Loja Física,Fortaleza-CE,3
2024-01-19,Rede Infantil,74,44.55,29.45,Site,Brejo do Cruz-PB,4
2024-01-19,Rede Infantil,63,35.71,27.29,Loja Física,Brejo do Cruz-PB,2
2024-01-19,Rede Tradicional,89,49.02,39.98,Marketplace,João Pessoa-PB,2
2024-01-19,Rede Casal,143,90.26,52.74,Site,Brejo do Cruz-PB,4
2024-01-19,Rede Luxo,244,125.15,118.85,WhatsApp,Jardim de Piranhas-RN,3
2024-01-19,Rede Tradicional,85,47.19,37.81,Instagram,João Pessoa-PB,2
2024-01-19,Rede Casal,163,70.66,92.34,Site,Brejo do Cruz-PB,1
2024-01-19,Rede Luxo,222,136.59,85.41,Site,Jardim de Piranhas-RN,3
2024-01-19,Rede Infantil,91,32.65,58.35,WhatsApp,João Pessoa-PB,3
2024-01-19,Rede Luxo,226,141.38,84.62,WhatsApp,Jardim de Piranhas-RN,1
2024-01-19,Rede Viagem,119,58.25,60.75,Loja Física,Jardim de Piranhas-RN,3
2024-01-19,Rede Luxo,210,113.11,96.89,Marketplace,Jardim de Piranhas-RN,3
2024-01-20,Rede Tradicional,103,47.13,55.87,WhatsApp,João Pessoa-PB,4
2024-01-20,Rede Infantil,84,43.66,40.34,Site,João Pessoa-PB,2
2024-01-20,Rede Casal,136,80.53,55.47,WhatsApp,Jardim de Piranhas-RN,4
2024-01-20,Rede Infantil,62,34.1,27.9,Loja Física,São Bento-PB,2
2024-01-20,Rede Infantil,79,37.52,41.48,Loja Física,Brejo do Cruz-PB,3
2024-01-20,Rede Viagem,101,67.05,33.95,Instagram,Jardim de Piranhas-RN,1
2024-01-20,Rede Viagem,117,64.47,52.53,Marketplace,João Pessoa-PB,1
2024-01-20,Rede Tradicional,112,57.65,54.35,Loja Física,João Pessoa-PB,2
2024-01-21,Rede Tradicional,96,42.35,53.65,WhatsApp,Brejo do Cruz-PB,1
2024-01-21,Rede Casal,161,89.35,71.65,Loja Física,Fortaleza-CE,1
2024-01-21,Rede Tradicional,92,41.99,50.01,Site,Brejo do Cruz-PB,2
2024-01-21,Rede Casal,155,82.31,72.69,Marketplace,Fortaleza-CE,2
2024-01-21,Rede Infantil,70,33.24,36.76,Instagram,São Bento-PB,2
2024-01-21,Rede Tradicional,110,50.24,59.76,Marketplace,Brejo do Cruz-PB,4
2024-01-21,Rede Casal,157,85.45,71.55,Instagram,João Pessoa-PB,4
2024-01-21,Rede Infantil,65,42.94,22.06,Marketplace,João Pessoa-PB,3
2024-01-21,Rede Tradicional,93,41.97,51.03,WhatsApp,Brejo do Cruz-PB,1
2024-01-21,Rede Tradicional,98,58.07,39.93,WhatsApp,Jardim de Piranhas-RN,4
2024-01-22,Rede Viagem,131,60.46,70.54,Marketplace,Fortaleza-CE,3
2024-01-22,Rede Viagem,131,61.43,69.57,Instagram,João Pessoa-PB,4
2024-01-22,Rede Casal,164,69.18,94.82,Loja Física,Brejo do Cruz-PB,1
2024-01-22,Rede Viagem,130,58.65,71.35,WhatsApp,Jardim de Piranhas-RN,4
2024-01-22,Rede Infantil,79,38.57,40.43,Marketplace,São Bento-PB,3
2024-01-22,Rede Tradicional,113,49.26,63.74,Marketplace,Fortaleza-CE,4
2024-01-22,Rede Casal,141,73.75,67.25,Marketplace,Jardim de Piranhas-RN,3
2024-01-22,Rede Tradicional,114,54.47,59.53,WhatsApp,Fortaleza-CE,4
2024-01-22,Rede Casal,134,64.94,69.06,Loja Física,Brejo do Cruz-PB,1
2024-01-22,Rede Tradicional,99,51.17,47.83,Loja Física,João Pessoa-PB,1
2024-01-22,Rede Tradicional,107,45.15,61.85,Site,Jardim de Piranhas-RN,3
2024-01-22,Rede Tradicional,91,42.86,48.14,Site,João Pessoa-PB,2
2024-01-22,Rede Luxo,223,113.56,109.44,Site,Fortaleza-CE,4
2024-01-22,Rede Tradicional,80,48.59,31.41,Instagram,Brejo do Cruz-PB,1
2024-01-23,Rede Infantil,87,32.01,54.99,Site,Jardim de Piranhas-RN,4
2024-01-23,Rede Viagem,127,68.51,58.49,WhatsApp,João Pessoa-PB,1
2024-01-23,Rede Infantil,73,32.3,40.7,Site,Brejo do Cruz-PB,2
2024-01-23,Rede Viagem,100,52.19,47.81,Site,Jardim de Piranhas-RN,3
2024-01-23,Rede Viagem,132,60.66,71.34,WhatsApp,Fortaleza-CE,4
2024-01-23,Rede Viagem,123,64.59,58.41,Marketplace,São Bento-PB,2
2024-01-23,Rede Viagem,130,55.09,74.91,Instagram,Fortaleza-CE,3
2024-01-23,Rede Infantil,79,33.26,45.74,Site,Brejo do Cruz-PB,4
2024-01-23,Rede Casal,137,90.16,46.84,Loja Física,Jardim de Piranhas-RN,4
2024-01-23,Rede Viagem,121,55.12,65.88,Loja Física,Fortaleza-CE,3
2024-01-23,Rede Casal,159,76.92,82.08,Loja Física,Fortaleza-CE,4
2024-01-23,Rede Tradicional,91,42.54,48.46,Loja Física,Brejo do Cruz-PB,1
2024-01-23,Rede Tradicional,98,57.44,40.56,Site,Jardim de Piranhas-RN,1
2024-01-23,Rede Casal,157,67.46,89.54,Loja Física,São Bento-PB,1
2024-01-23,Rede Tradicional,92,54.58,37.42,Site,São Bento-PB,3
2024-01-23,Rede Infantil,93,37.16,55.84,WhatsApp,João Pessoa-PB,2
2024-01-24,Rede Casal,142,85.34,56.66,Instagram,Jardim de Piranhas-RN,3
2024-01-24,Rede Tradicional,103,45.84,57.16,Loja Física,Jardim de Piranhas-RN,3
2024-01-24,Rede Tradicional,91,51.48,39.52,Site,João Pessoa-PB,4
2024-01-24,Rede Viagem,124,62.62,61.38,Loja Física,João Pessoa-PB,4
2024-01-24,Rede Casal,140,79.9,60.1,Marketplace,Fortaleza-CE,2
2024-01-24,Rede Tradicional,82,50.26,31.74,Marketplace,Brejo do Cruz-PB,1
2024-01-24,Rede Viagem,125,51.9,73.1,Site,Fortaleza-CE,4
2024-01-24,Rede Viagem,114,61.24,52.76,Instagram,Fortaleza-CE,4
2024-01-24,Rede Luxo,230,107.61,122.39,Site,Brejo do Cruz-PB,3
2024-01-25,Rede Infantil,70,36.82,33.18,WhatsApp,Jardim de Piranhas-RN,1
2024-01-25,Rede Luxo,243,106.32,136.68,WhatsApp,Jardim de Piranhas-RN,4
2024-01-25,Rede Luxo,238,134.33,103.67,Instagram,Fortaleza-CE,4
2024-01-25,Rede Casal,131,70.63,60.37,WhatsApp,Fortaleza-CE,1
2024-01-25,Rede Luxo,216,128.97,87.03,Marketplace,Jardim de Piranhas-RN,3
2024-01-25,Rede Tradicional,99,49.2,49.8,Loja Física,Brejo do Cruz-PB,4
2024-01-25,Rede Viagem,112,62.74,49.26,Site,Brejo do Cruz-PB,1
